Carlinga;Pablo & Los Sextos;Martes 27 de Junio;20:00;;;La Naranja Geriatrica;1
Rejunte FC;La Naranja Geriatrica;Martes 27 de Junio;20:50;;;Carlinga;1
Los PapiFootball;Los Suplentes;Martes 27 de Junio;21:40;;;Rejunte FC;1
Whiscola F.C.C.;All Inclusive F.C.;Jueves 29 de Junio;20:00;;;Farola FC;2
La Scaloneta;Farola FC;Jueves 29 de Junio;20:50;;;Whiscola F.C.C.;2
La Scaloneta;Los Suplentes;Martes 4 de JuLio;20:00;;;All Inclusive F.C.;3
Sala Azul Remix;All Inclusive F.C.;Martes 4 de JuLio;20:50;;;La Scaloneta;3
Whiscola F.C.C.;La Naranja Geriatrica;Martes 4 de JuLio;21:40;;;Sala Azul Remix;3
Rejunte FC;Pablo & Los Sextos;Jueves 6 de JuLio;20:00;;;Carlinga;4
Los PapiFootball;Carlinga;Jueves 6 de JuLio;20:50;;;Rejunte FC;4
Los PapiFootball;Rejunte FC;Martes 11 de JuLio;20:00;;;Pablo & Los Sextos;5
Whiscola F.C.C.;Pablo & Los Sextos;Martes 11 de JuLio;20:50;;;Los PapiFootball;5
La Scaloneta;Carlinga;Martes 11 de JuLio;21:40;;;Whiscola F.C.C.;5
Sala Azul Remix;La Naranja Geriatrica;Jueves 13 de JuLio;20:00;;;Los Suplentes;6
Farola FC;Los Suplentes;Jueves 13 de JuLio;20:50;;;Sala Azul Remix;6
Farola FC;Carlinga;Martes 01 de Agosto;20:00;;;La Naranja Geriatrica;7
All Inclusive F.C.;La Naranja Geriatrica;Martes 01 de Agosto;20:50;;;Farola FC;7
Sala Azul Remix;Pablo & Los Sextos;Martes 01 de Agosto;21:40;;;All Inclusive F.C.;7
Whiscola F.C.C.;Los PapiFootball;Jueves 03 de Agosto;20:00;;;Rejunte FC;8
La Scaloneta;Rejunte FC;Jueves 03 de Agosto;20:50;;;Whiscola F.C.C.;8
La Scaloneta;Whiscola F.C.C.;Martes 08 de Agosto;20:00;;;Los PapiFootball;9
Sala Azul Remix;Los PapiFootball;Martes 08 de Agosto;20:50;;;La Scaloneta;9
Farola FC;Rejunte FC;Martes 08 de Agosto;21:40;;;Sala Azul Remix;9
All Inclusive F.C.;Pablo & Los Sextos;Jueves 10 de Agosto;20:00;;;Carlinga;10
Los Suplentes;Carlinga;Jueves 10 de Agosto;20:50;;;All Inclusive F.C.;10
Los Suplentes;Rejunte FC;Martes 15 de Agosto;20:00;;;Pablo & Los Sextos;11
La Naranja Geriatrica;Pablo & Los Sextos;Martes 15 de Agosto;20:50;;;Los Suplentes;11
All Inclusive F.C.;Los PapiFootball;Martes 15 de Agosto;21:40;;;La Naranja Geriatrica;11
La Scaloneta;Sala Azul Remix;Jueves 17 de Agosto;20:00;;;Whiscola F.C.C.;12
Farola FC;Whiscola F.C.C.;Jueves 17 de Agosto;20:50;;;La Scaloneta;12
Farola FC;Sala Azul Remix;Martes 22 de Agosto;20:00;;;La Scaloneta;13
All Inclusive F.C.;La Scaloneta;Martes 22 de Agosto;20:50;;;Farola FC;13
Los Suplentes;Whiscola F.C.C.;Martes 22 de Agosto;21:40;;;All Inclusive F.C.;13
La Naranja Geriatrica;Los PapiFootball;Jueves 24 de Agosto;20:00;;;Rejunte FC;14
Carlinga;Rejunte FC;Jueves 24 de Agosto;20:50;;;La Naranja Geriatrica;14
Carlinga;Whiscola F.C.C.;Martes 29 de Agosto;20:00;;;Los PapiFootball;15
Pablo & Los Sextos;Los PapiFootball;Martes 29 de Agosto;20:50;;;Carlinga;15
La Naranja Geriatrica;La Scaloneta;Martes 29 de Agosto;21:40;;;Pablo & Los Sextos;15
Farola FC;All Inclusive F.C.;Jueves 31 de Agosto;20:00;;;Sala Azul Remix;16
Los Suplentes;Sala Azul Remix;Jueves 31 de Agosto;20:50;;;Farola FC;16
Los Suplentes;All Inclusive F.C.;Martes 05 de Septiembre;20:00;;;Farola FC;17
La Naranja Geriatrica;Farola FC;Martes 05 de Septiembre;20:50;;;Los Suplentes;17
Carlinga;Sala Azul Remix;Martes 05 de Septiembre;21:40;;;La Naranja Geriatrica;17
Pablo & Los Sextos;La Scaloneta;Jueves 07 de Septiembre;20:00;;;Whiscola F.C.C.;18
Rejunte FC;Whiscola F.C.C.;Jueves 07 de Septiembre;20:50;;;Pablo & Los Sextos;18
Rejunte FC;Sala Azul Remix;Martes 12 de Septiembre;20:00;;;La Scaloneta;19
Los PapiFootball;La Scaloneta;Martes 12 de Septiembre;20:50;;;Rejunte FC;19
Pablo & Los Sextos;Farola FC;Martes 12 de Septiembre;21:40;;;Los PapiFootball;19
Los Suplentes;La Naranja Geriatrica;Jueves 14 de Septiembre;20:00;;;All Inclusive F.C.;20
Carlinga;All Inclusive F.C.;Jueves 14 de Septiembre;20:50;;;Los Suplentes;20
Carlinga;La Naranja Geriatrica;Martes 19 de Septiembre;20:00;;;Los Suplentes;21
Pablo & Los Sextos;Los Suplentes;Martes 19 de Septiembre;20:50;;;Carlinga;21
Rejunte FC;All Inclusive F.C.;Martes 19 de Septiembre;21:40;;;Pablo & Los Sextos;21
Los PapiFootball;Farola FC;Jueves 21 de Septiembre;20:00;;;Sala Azul Remix;22
Whiscola F.C.C.;Sala Azul Remix;Jueves 21 de Septiembre;20:50;;;Los PapiFootball;22
